Data,Frequency
소스,239
양념,239
죽,231
만두,205
두부,187
맛,179
김,176
곰탕,150
치즈,148
우유,142
햄,133
밥,131
김치,128
고추장,113
된장,105
쌈장,97
용기,94
후랑크,87
팩,86
초고추장,71
떡,68
찌개,67
딸기,67
바,67
플레인,65
믹스,65
설탕,64
당면,64
카레,63
복숭아,63
차,63
오리지날,62
봉,62
사과,60
호박죽,58
피자,57
육개장,55
어묵,54
포도,54
콩나물,53
마일,53
밀가루,52
골드,51
핫도그,51
소면,50
향,49
아몬드,49
오렌지,48
스프,48
소,48
아메리카노,48
식용유,47
매운맛,47
칼국수,47
탕,46
액,46
레,46
살,46
구이,46
두유,46
알,46
수,45
리필,45
우동,45
미역국,45
삼계탕,44
불고기,44
볶음,44
부침,43
큰사발,43
전복죽,43
베이컨,42
오,42
스파게티,42
드레싱,42
스프라이트,41
젓,41
클래식,41
코카콜라,40
우치,40
파인애플,40
교자,39
초코,39
골뱅이,38
단무지,38
땡,38
양념장,38
팥죽,37
EA,37
양파,37
소시지,37
수입,36
크림,36
그래놀라,35
커리,35
청,35
땅콩,35
미트,35
동원,35
소세지,35
국,34
링,34
다시다,34
미역,33
자,33
칠성사이다,32
쌀,32
떼,32
국밥,32
리피,31
수프,31
된장찌개,31
육수,31
마늘,30
김치찌개,30
설렁탕,30
군만두,30
토마토,29
라임,29
미니,29
식초,29
시,29
반,29
고추,29
새우깡,28
누룽지,28
요리,28
원,28
맛살,28
자몽,27
대,27
칩,27
스테이크,27
부각,27
요구르트,27
쫄면,27
쌀국수,26
곡,26
보리,26
세트,26
콘,26
과자,26
햅쌀,25
콩,25
파이,25
순두부,25
포도씨유,25
블루베리,25
카페,25
감귤,25
배,24
피,24
망고,24
떡갈비,23
산,23
리,23
치킨,23
봉지,23
닭,23
초코파이,23
롯데,22
식혜,22
왕,22
자반,22
마리,21
스웨,21
양,21
현미,21
호박,21
종합,21
야채,21
갈비탕,21
핑크,21
창,21
장금,20
라면,20
쿠키,20
멸치,20
펩시콜라,20
다시,20
감,20
우,20
부어스,20
부대찌개,20
베리,20
카카오,20
초,19
입,19
잡곡밥,19
플러스,19
라이트,19
사리,19
안성탕면,19
찹쌀,19
요거,19
신라면,19
1.5,19
해물,19
무,18
쇠고기,18
카스타드,18
파스타,18
고소,18
프리미엄,18
고기,18
미트볼,18
청포도,18
빼빼로,18
코볼,18
드럼,17
바나나,17
순,17
바닐라,17
크래커,17
생강,17
감자,17
오리,17
일반,17
추어탕,17
버섯,17
대파,17
꽁치,17
열라면,17
삼양라면,16
닭갈비,16
무국,16
초석,16
양조간장,16
비빔밥,16
모,16
비,16
강정,16
이,16
미모사,16
빵,16
밀크,16
키친,16
겹,16
호두,16
등심,16
오뚜기,16
근,16
물엿,16
보쌈,16
개입,16
청양고추,16
면,16
마운틴,16
처,16
짬뽕,16
카라멜,16
된장국,15
수유,15
코,15
이다,15
깻잎,15
분자,15
닭발,15
박스,15
마스터,15
튀김,15
스틱,15
황도,15
블루,15
비앙카,15
토,14
병,14
한,14
해장국,14
호떡,14
마,14
농장,14
프랑크,14
삼겹살,14
도가니탕,14
오이,14
단팥죽,14
짜파게티,14
조림,14
타오,14
티,14
토장,13
매콤,13
콘트라베이스,13
1000,13
코코넛,13
육,13
백설,13
커피,13
배추,13
흑,13
국물,13
계란,13
캔디,13
식빵,13
밀키스,13
수량,13
전장,13
호,13
유부,13
에이스,13
찌,13
부,13
ML,13
가지,13
은지,13
볼,13
스낵면,13
고등어,13
큐,12
엔나,12
코코,12
왕뚜껑,12
이스,12
판,12
특,12
매실,12
빔,12
중면,12
다수,12
집,12
어니언,12
녹차,12
기름,12
고구마,12
마살라,12
중,12
체,12
낫,12
용량,12
젤리,12
파,11
사,11
워터,11
예스,11
냉,11
비엔,11
레드,11
총각김치,11
쇠,11
불닭볶음면,11
열무김치,11
공기,11
상추,11
유부초밥,11
깡,11
말,11
수정과,11
쿠,11
코트,11
파김치,11
청경채,10
뼈,10
콩기름,10
소금,10
순대,10
맛동산,10
진라면,10
백,10
포,10
어,10
백도,10
미나리,10
로즈마리,10
채소,10
간,10
아이시스,10
홈런,10
산적,10
베,10
쌈,10
로마,10
참깨,10
내외,10
소고기,10
주먹밥,10
락스,10
송이,10
500,10
마크,10
양념치킨,10
쌀밥,10
묶음,10
냉동,9
칼슘,9
라이스,9
롤,9
갈비,9
옥수수,9
뻥,9
키위,9
부추,9
초콜릿,9
허니버터칩,9
와플,9
육포,9
10,9
핫,9
사비,9
터치,9
김밥,9
팽이버섯,9
파프리카,9
비피더스명장사과,9
대상,9
장갑,9
라볶이,9
숙주,9
사발,9
유자,9
안심,9
번데기,9
솔트,9
방,9
파워에이드,9
오동통면,9
대란,9
단,9
군밤,9
석류,9
갈색,8
꽈배기,8
티백,8
세모,8
전골,8
전,8
패트,8
위트,8
소프트,8
민트,8
데코,8
모카,8
스파,8
빵가루,8
죠리퐁,8
빈츠,8
린,8
채,8
켈로그,8
뚝심,8
양배추,8
장국,8
다시마,8
콘칩,8
롯,8
비요뜨초코링,8
내,8
식,8
킨사이다,8
카,8
윈,8
허니,8
프랑,8
필,8
후레쉬,8
통,8
조,8
덕,8
초밥,8
스타,8
마가렛,8
에이드,8
이용,8
그란데,8
세,7
환타,7
칸쵸,7
맥스,7
기획,7
순두부찌개,7
유과,7
느타리버섯,7
방울토마토,7
낙지,7
캔커피,7
가스,7
배추김치,7
100%,7
대림,7
마카로니,7
20,7
러,7
바나나킥,7
튀김우동,7
애플,7
피치,7
장조림,7
물,7
멀,7
감자탕,7
버터,7
칼,7
국수,7
수제비,7
김치볶음밥,7
자연,7
찰옥수수,7
샌드위치,7
캡,7
중력,7
경기,7
천하장사,7
보리밥,7
스톰,7
전용,7
오징어,7
막국수,7
흑초,7
연양갱,7
탕수육,7
국거리,7
재래식,7
900,7
실,7
쪽파,7
등급,7
게,7
한성,7
패키지,7
쥬스,7
메밀,7
티슈,7
징,6
퍼플,6
빅,6
정제,6
붕어빵,6
501,6
너비아니,6
새우,6
약밥,6
1500,6
페퍼,6
선,6
약과,6
끼,6
지퍼,6
12,6
!!,6
소바,6
칸타타,6
사골,6
잡채,6
유자차,6
베이,6
래,6
게살,6
난,6
알짜,6
크라운,6
트리트먼트,6
태,6
아욱,6
보,6
스낵,6
켈로그콘푸로스트,6
백김치,6
16,6
콤비네이션,6
박사,6
꼬치,6
촉,6
바이오,6
당근,6
닭개장,6
르마,6
대형,6
모과차,6
맥콜,6
태양,6
잎,6
레쓰비,6
샘물,6
푸딩,6
생강차,6
사탕,6
카토,6
부산,6
레이크,6
그린,6
종,6
그릴,6
금,6
건조,6
양파링,6
믹,6
들기름,6
건빵,6
쑥갓,6
오리온,5
알로에,5
유정,5
겸용,5
무화과,5
동원미니돈까스,5
연산,5
아,5
시금치,5
80,5
분,5
호빵,5
콘푸로스트,5
허브,5
따,5
라이,5
졸,5
글,5
크림치즈,5
100,5
상자,5
사이다,5
비피더스명장포도,5
금액,5
건전지,5
거봉,5
다크,5
해찬들새콤달콤초고추장,5
